thisN,thisTrialN,thisRepN,key_instruct.keys,key_instruct.rt,key_instruct.duration,make_or_miss.keys,make_or_miss.rt,make_or_miss.duration,button_yes_make.numClicks,button_yes_make.timesOn,button_yes_make.timesOff,button_no_miss.numClicks,button_no_miss.timesOn,button_no_miss.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,intro.started,key_instruct.started,intro.stopped,trials.key_instruct.keys,trials.key_instruct.rt,trials.key_instruct.duration,trial.started,beep.started,beep.stopped,trial.stopped,result.started,make_or_miss.started,text.started,button_yes_make.started,button_no_miss.started,result.stopped,trials.make_or_miss.keys,trials.make_or_miss.rt,trials.make_or_miss.duration,trials.button_yes_make.numClicks,trials.button_yes_make.timesOn,trials.button_yes_make.timesOff,trials.button_no_miss.numClicks,trials.button_no_miss.timesOn,trials.button_no_miss.timesOff,participant,session,auto_mode,date,expName,expVersion,psychopyVersion,expStart,
0,0,0,space,3.7316521999891847,None,y,2.3209337000153027,None,0,,,0,,,0,0,0,0,0.01523400004953146,,False,0.009797400038223714,0.01523400004953146,3.7699698000214994,space,3.7316521999891847,None,3.7790437000221573,11.595622966710168,11.856446100049652,11.84307100001024,11.844680300040636,11.856446100049652,11.856446100049652,11.856446100049652,11.856446100049652,14.181991400022525,y,2.3209337000153027,None,0,,,0,,,001,002,0,2026-08-10_13h43.34.708,Basketball,,2026.1.3,2026-08-10 13h43.35.507024 -0400,
1,0,1,space,1.3045491999946535,None,y,1.8705829000100493,None,0,,,0,,,1,0,1,0,14.197708800027613,,,14.192189900029916,14.197708800027613,15.513980300049298,space,1.3045491999946535,None,15.525396700017154,23.21237146668524,23.47487520001596,23.464463800017256,23.464827300049365,23.47487520001596,23.47487520001596,23.47487520001596,23.47487520001596,25.350725600030273,y,1.8705829000100493,None,0,,,0,,,001,002,0,2026-08-10_13h43.34.708,Basketball,,2026.1.3,2026-08-10 13h43.35.507024 -0400,
2,0,2,space,0.42455060000065714,None,n,2.4777719999547116,None,0,,,0,,,2,0,2,0,25.365700900030788,,,25.36088320001727,25.365700900030788,25.79691220005043,space,0.42455060000065714,None,25.806825100036804,33.66203006671664,33.915323200053535,33.90874340001028,33.90888030000497,33.915323200053535,33.915323200053535,33.915323200053535,33.915323200053535,36.39833830000134,n,2.4777719999547116,None,0,,,0,,,001,002,0,2026-08-10_13h43.34.708,Basketball,,2026.1.3,2026-08-10 13h43.35.507024 -0400,
3,0,3,space,0.3401243999833241,None,n,1.981294400000479,None,0,,,0,,,3,0,3,0,36.41294750000816,,,36.40830570005346,36.41294750000816,36.76253520004684,space,0.3401243999833241,None,36.770672200014815,44.3452223666866,44.602607500040904,44.59240900003351,44.592686300049536,44.602607500040904,44.602607500040904,44.602607500040904,44.602607500040904,46.59829560003709,n,1.981294400000479,None,0,,,0,,,001,002,0,2026-08-10_13h43.34.708,Basketball,,2026.1.3,2026-08-10 13h43.35.507024 -0400,
4,0,4,space,0.38118510000640526,None,n,2.0855772999930196,None,0,,,0,,,4,0,4,0,46.61425360001158,,,46.60943700000644,46.61425360001158,46.99924550001742,space,0.38118510000640526,None,47.010096200043336,54.545225466721845,54.80160810000962,54.79070470004808,54.791041999997105,54.80160810000962,54.80160810000962,54.80160810000962,54.80160810000962,56.89811920002103,n,2.0855772999930196,None,0,,,0,,,001,002,0,2026-08-10_13h43.34.708,Basketball,,2026.1.3,2026-08-10 13h43.35.507024 -0400,
5,0,5,space,0.38620190002257004,None,n,2.484510400041472,None,0,,,0,,,5,0,5,0,56.91161450004438,,,56.907038900011685,56.91161450004438,57.31519900000421,space,0.38620190002257004,None,57.32458590000169,64.82837086671886,65.08293790003518,65.07278520002728,65.07312240003375,65.08293790003518,65.08293790003518,65.08293790003518,65.08293790003518,67.58056100003887,n,2.484510400041472,None,0,,,0,,,001,002,0,2026-08-10_13h43.34.708,Basketball,,2026.1.3,2026-08-10 13h43.35.507024 -0400,
6,0,6,space,0.4250754999811761,None,n,2.085255500045605,None,0,,,0,,,6,0,6,0,67.59583860001294,,,67.59113539999817,67.59583860001294,68.03046700003324,space,0.4250754999811761,None,68.03876650001621,75.67788716667953,75.93178250000346,75.92281180003192,75.92308259999845,75.93178250000346,75.93178250000346,75.93178250000346,75.93178250000346,78.03065150004113,n,2.085255500045605,None,0,,,0,,,001,002,0,2026-08-10_13h43.34.708,Basketball,,2026.1.3,2026-08-10 13h43.35.507024 -0400,
7,0,7,space,0.3746063999715261,None,n,2.072257899970282,None,0,,,0,,,7,0,7,0,78.04539959999966,,,78.04034100001445,78.04539959999966,78.43063300003996,space,0.3746063999715261,None,78.43994940002449,85.99466136668731,86.25064550002571,86.2408103000489,86.24116520001553,86.25064550002571,86.25064550002571,86.25064550002571,86.25064550002571,88.33129770000232,n,2.072257899970282,None,0,,,0,,,001,002,0,2026-08-10_13h43.34.708,Basketball,,2026.1.3,2026-08-10 13h43.35.507024 -0400,
8,0,8,space,0.3623142999713309,None,n,2.9342302999575622,None,0,,,0,,,8,0,8,0,88.34586840000702,,,88.34208319999743,88.34586840000702,88.71351670002332,space,0.3623142999713309,None,88.72461410000687,96.27797826670964,96.53349610004807,96.5234318000148,96.52380130003439,96.53349610004807,96.53349610004807,96.53349610004807,96.53349610004807,99.47935600002529,n,2.9342302999575622,None,0,,,0,,,001,002,0,2026-08-10_13h43.34.708,Basketball,,2026.1.3,2026-08-10 13h43.35.507024 -0400,
9,0,9,space,0.4259498000028543,None,y,1.8816022000391968,None,0,,,0,,,9,0,9,0,99.49432060000254,,,99.48667730001034,99.49432060000254,99.92864710005233,space,0.4259498000028543,None,99.93672730005346,107.87777236669014,108.14422120002564,108.1290501000476,108.12943570001516,108.14422120002564,108.14422120002564,108.14422120002564,108.14422120002564,110.03074250003556,y,1.8816022000391968,None,0,,,0,,,001,002,0,2026-08-10_13h43.34.708,Basketball,,2026.1.3,2026-08-10 13h43.35.507024 -0400,
